DREAM TEAM WORLD CUP PLAYERS
Source: https://dev-fantasy.uat-dreamteamfc.com/
Fields: PLAYER | POSITION | NATIONAL TEAM
Total players: 1123

=== ALGERIA ===
Luca Zidane | GK | Algeria
Aïssa Mandi | DEF | Algeria
Rafik Belghali | DEF | Algeria
Ramy Bensebaini | DEF | Algeria
Rayan Aït-Nouri | DEF | Algeria
Zineddine Belaïd | DEF | Algeria
Farès Chaïbi | MID | Algeria
Hicham Boudaoui | MID | Algeria
Houssem Aouar | MID | Algeria
Ibrahim Maza | MID | Algeria
Ramiz Zerrouki | MID | Algeria
Riyad Mahrez | MID | Algeria
Amine Gouiri | FWD | Algeria
Mohammed Amoura | FWD | Algeria

=== ARGENTINA ===
Emiliano Martínez | GK | Argentina
Gerónimo Rulli | GK | Argentina
Juan Musso | GK | Argentina
Cristian Romero | DEF | Argentina
Gonzalo Montiel | DEF | Argentina
Leonardo Balerdi | DEF | Argentina
Lisandro Martínez | DEF | Argentina
Marcos Javier Acuña | DEF | Argentina
Marcos Nicolás Senesi Barón | DEF | Argentina
Nahuel Molina | DEF | Argentina
Nicolás Otamendi | DEF | Argentina
Nicolás Tagliafico | DEF | Argentina
Alexis Mac Allister | MID | Argentina
Enzo Fernández | MID | Argentina
Exequiel Palacios | MID | Argentina
Giovani Lo Celso | MID | Argentina
Giuliano Simeone | MID | Argentina
Leandro Paredes | MID | Argentina
Nico González | MID | Argentina
Nico Paz | MID | Argentina
Rodrigo De Paul | MID | Argentina
Thiago Almada | MID | Argentina
Julián Alvarez | FWD | Argentina
Lautaro Martínez | FWD | Argentina
Lionel Messi | FWD | Argentina
Franco Mastantuono | STR | Argentina

=== AUSTRALIA ===
Mathew Ryan | GK | Australia
Alessandro Circati | DEF | Australia
Jordan Bos | DEF | Australia
Kye Francis Rowles | DEF | Australia
Milos Degenek | DEF | Australia
Aiden O'Neill | MID | Australia
Connor Metcalfe | MID | Australia
Nestory Irankunda | MID | Australia
Awer Mabil | FWD | Australia
Martin Callie Boyle | STR | Australia

=== AUSTRIA ===
Alexander Schlager | GK | Austria
Florian Wiegele | GK | Austria
Patrick Pentz | GK | Austria
Alexander Prass | DEF | Austria
David Affengruber | DEF | Austria
David Alaba | DEF | Austria
Kevin Danso | DEF | Austria
Marco Friedl | DEF | Austria
Michael Svoboda | DEF | Austria
Philipp Lienhart | DEF | Austria
Phillipp Mwene | DEF | Austria
Stefan Posch | DEF | Austria
Alessandro Schöpf | MID | Austria
Carney Chukwuemeka | MID | Austria
Christoph Baumgartner | MID | Austria
Florian Grillitsch | MID | Austria
Konrad Laimer | MID | Austria
Marcel Sabitzer | MID | Austria
Nicolas Seiwald | MID | Austria
Patrick Wimmer | MID | Austria
Paul Wanner | MID | Austria
Romano Schmid | MID | Austria
Xaver Schlager | MID | Austria
Marko Arnautovic | FWD | Austria
Michael Gregoritsch | FWD | Austria
Sasa Kalajdzic | FWD | Austria

=== BELGIUM ===
Mike Penders | GK | Belgium
Senne Lammens | GK | Belgium
Thibaut Courtois | GK | Belgium
Arthur Theate | DEF | Belgium
Brandon Mechele | DEF | Belgium
Joaquin Seys | DEF | Belgium
Koni De Winter | DEF | Belgium
Maxim De Cuyper | DEF | Belgium
Nathan Ngoy | DEF | Belgium
Thomas Meunier | DEF | Belgium
Timothy Castagne | DEF | Belgium
Zeno Debast | DEF | Belgium
Alexis Saelemaekers | MID | Belgium
Amadou Onana | MID | Belgium
Axel Witsel | MID | Belgium
Diego Moreira | MID | Belgium
Dodi Lukébakio | MID | Belgium
Hans Vanaken | MID | Belgium
Jérémy Doku | MID | Belgium
Kevin De Bruyne | MID | Belgium
Leandro Trossard | MID | Belgium
Nicolas Raskin | MID | Belgium
Youri Tielemans | MID | Belgium
Charles De Ketelaere | FWD | Belgium
Matias Fernandez-Pardo | FWD | Belgium
Romelu Lukaku | FWD | Belgium

=== BOSNIA-HERZEGOVINA ===
Martin Zlomislic | GK | Bosnia-Herzegovina
Nikola Vasilj | GK | Bosnia-Herzegovina
Osman Hadžikić | GK | Bosnia-Herzegovina
Amar Dedic | DEF | Bosnia-Herzegovina
Dennis Hadzikadunic | DEF | Bosnia-Herzegovina
Nidal Celik | DEF | Bosnia-Herzegovina
Nihad Mujakic | DEF | Bosnia-Herzegovina
Nikola Katic | DEF | Bosnia-Herzegovina
Sead Kolasinac | DEF | Bosnia-Herzegovina
Stjepan Radeljic | DEF | Bosnia-Herzegovina
Tarik Muharemovic | DEF | Bosnia-Herzegovina
Amar Memic | MID | Bosnia-Herzegovina
Amir Hadziahmetovic | MID | Bosnia-Herzegovina
Armin Gigovic | MID | Bosnia-Herzegovina
Benjamin Tahirovic | MID | Bosnia-Herzegovina
Dzenis Burnic | MID | Bosnia-Herzegovina
Ermin Mahmic | MID | Bosnia-Herzegovina
Esmir Bajraktarevic | MID | Bosnia-Herzegovina
Ivan Basic | MID | Bosnia-Herzegovina
Ivan Sunjic | MID | Bosnia-Herzegovina
Kerim Alajbegovic | MID | Bosnia-Herzegovina
Edin Dzeko | FWD | Bosnia-Herzegovina
Ermedin Demirovic | FWD | Bosnia-Herzegovina
Haris Tabakovic | FWD | Bosnia-Herzegovina
Jovo Lukic | FWD | Bosnia-Herzegovina
Samed Bazdar | FWD | Bosnia-Herzegovina

=== BRAZIL ===
Alisson Ramsés Becker | GK | Brazil
Ederson Santana de Moraes | GK | Brazil
Weverton Pereira da Silva | GK | Brazil
Alex Sandro Lobo da Silva | DEF | Brazil
Danilo Luiz da Silva | DEF | Brazil
Douglas dos Santos Justino de Melo | DEF | Brazil
Gabriel dos Santos Magalhães | DEF | Brazil
Gleison Bremer Silva Nascimento | DEF | Brazil
Leonardo Pereira | DEF | Brazil
Marcos Aoás Corrêa | DEF | Brazil
Roger Ibañez da Silva | DEF | Brazil
Wesley Vinícius França Lima | DEF | Brazil
Bruno Guimarães Rodriguez Moura | MID | Brazil
Carlos Henrique Casimiro | MID | Brazil
Danilo dos Santos de Oliveira | MID | Brazil
Fábio Henrique Tavares | MID | Brazil
Gabriel Teodoro Martinelli Silva | MID | Brazil
Lucas Tolentino Coelho de Lima | MID | Brazil
Luiz Henrique André Rosa da Silva | MID | Brazil
Raphael Dias Belloli | MID | Brazil
Rayan Vitor Simplício Rocha | MID | Brazil
Vinícius José Paixão de Oliveira Júnior | MID | Brazil
Endrick Felipe Moreira de Sousa | FWD | Brazil
Igor Thiago Nascimento Rodrigues | FWD | Brazil
Matheus Santos Carneiro da Cunha | FWD | Brazil
Neymar da Silva Santos Júnior | FWD | Brazil

=== CABO VERDE ===
Carlos Joaquim Antunes dos Santos | GK | Cabo Verde
Josimar José Évora Dias | GK | Cabo Verde
Márcio Salomão Brazão da Rosa | GK | Cabo Verde
Edilson Alberto Monteiro Sanches Borges | DEF | Cabo Verde
Ianique dos Santos Tavares | DEF | Cabo Verde
João Paulo Moreira Fernandes | DEF | Cabo Verde
Kelvin Spencer Pires | DEF | Cabo Verde
Logan Evans Costa | DEF | Cabo Verde
Roberto Carlos Lopes | DEF | Cabo Verde
Sidny Lopes Cabral | DEF | Cabo Verde
Steven Moreira | DEF | Cabo Verde
Wagner Fabrício Cardoso de Pina | DEF | Cabo Verde
Deroy d'Encarnação Duarte | MID | Cabo Verde
Garry Mendes Rodrigues | MID | Cabo Verde
Hélio Sandro Oliveira Alves Varela | MID | Cabo Verde
Jamiro Gregory Monteiro Alvarenga | MID | Cabo Verde
Jovane Eduardo Borges Cabral | MID | Cabo Verde
Kevin Lenini Gonçalves Pereira de Pina | MID | Cabo Verde
Laros Michael d'Encarnação  Duarte | MID | Cabo Verde
Ryan Isaac Mendes da Graça | MID | Cabo Verde
Telmo Emanuel Gomes Arcanjo | MID | Cabo Verde
Willy Johnson Semedo Afonso | MID | Cabo Verde
Dailon Rocha Livramento do Rosário | FWD | Cabo Verde
Gilson Benchimol Tavares | FWD | Cabo Verde
Nuno Miguel da Costa Jóia | FWD | Cabo Verde

=== CANADA ===
Dayne St. Clair | GK | Canada
Maxime Crépeau | GK | Canada
Owen Goodman | GK | Canada
Alistair Johnston | DEF | Canada
Alphonso Davies | DEF | Canada
Derek Cornelius | DEF | Canada
Joel Waterman | DEF | Canada
Luc De Fougerolles | DEF | Canada
Moïse Bombito | DEF | Canada
Niko Sigur | DEF | Canada
Richie Laryea | DEF | Canada
Ali Ahmed | MID | Canada
Ismaël Koné | MID | Canada
Jacob Shaffelburg | MID | Canada
Jonathan Osorio | MID | Canada
Liam Millar | MID | Canada
Mathieu Choinière | MID | Canada
Nathan Saliba | MID | Canada
Stephen Eustaquio | MID | Canada
Tajon Buchanan | MID | Canada
Cyle Larin | FWD | Canada
Jonathan David | FWD | Canada
Promise David | FWD | Canada
Tani Oluwaseyi | FWD | Canada
Jayden Nelson | STR | Canada

=== COLOMBIA ===
Álvaro Montero | GK | Colombia
Camilo Vargas | GK | Colombia
David Ospina | GK | Colombia
Daniel Muñoz | DEF | Colombia
Davinson Sánchez | DEF | Colombia
Deiver Machado | DEF | Colombia
Jhon Lucumí | DEF | Colombia
Johan Mojica | DEF | Colombia
Santiago Arias | DEF | Colombia
Willer Ditta | DEF | Colombia
Yerry Mina | DEF | Colombia
Andrés Gómez | MID | Colombia
Gustavo Puerta | MID | Colombia
James Rodríguez | MID | Colombia
Jaminton Campaz | MID | Colombia
Jefferson Lerma | MID | Colombia
Jhon Arias | MID | Colombia
Jorge Carrascal | MID | Colombia
Juan Fernando Quintero | MID | Colombia
